Airport,Airport Code,2011,2012,2013,Total
Abilene Regional ,ABI,1,0,0,1
Amarillo,AMA,2,3,6,11
Waco Regional ,ACT,1,0,1,2
Austin-Bergstrom ,AUS,22,33,23,78
Easterwood,CLL,2,0,2,4
Corpus Christi,CRP,4,2,7,13
Dallas Love Field,DAL,12,39,35,86
Dallas/Fort Worth,DFW,57,80,96,233
El Paso,ELP,4,11,5,20
Killeen-Ft Hood,GRK,1,2,4,7
Bush Intercontinental,IAH,49,52,68,169
Houston Hobby,HOU,18,35,30,83
Laredo,LRD,0,1,1,2
Lubbock,LBB,4,6,7,17
McAllen-Miller,MFE,0,0,1,1
Midland,MAF,7,7,14,28
San Antonio,SAT,21,22,37,80
Tyler Pounds,TYR,1,0,0,1
Valley Internnational ,HRL,2,3,1,6
