Airport,Airport Code,2012,2013,Total 
Hartsfield-Jackson Atlanta International Airport,ATL,111,96,207
Dallas/Fort Worth International,DFW,96,80,176
George Bush Intercontinental Airport - Houston,IAH,68,52,120
Phoenix Sky Harbor International,PHX,66,54,120
Denver International,DEN,51,39,90
Seattle-Tacoma International,SEA,49,37,86
Ft. Lauderdale-Hollywood International,FLL,40,42,82
Orlando International Airport,MCO,43,36,79
Nashville International,BNA,47,31,78
Dallas Love Field,DAL,35,39,74
Tampa International,TPA,35,33,68
William P. Hobby,HOU,30,35,65
McCarran International,LAS,39,23,62
San Antonio International,SAT,37,22,59
Austin-Bergstrom International Airport,AUS,23,33,56
Salt Lake City International,SLC,34,20,54
Detroit Metropolitan Wayne County Airport,DTW,23,28,51
Jacksonville International,JAX,27,23,50
Charlotte/Douglas International Airport,CLT,26,21,47
