Park-Name,2009,2010,2011,2012,2013,Average,Camping
Alibates Flint Quarries NM,2918,4350,3214,3383,1555,3084,N
Amistad NRA,2573966,1574322,1436759,1367502,1025151,1595540,Y
Big Bend NP,363905,372330,361862,292055,316953,341421,Y
Big Thicket NPRES,100509,140489,137722,135262,120108,126818,Y
Chamizal NMEM,215852,226535,113817,104148,121937,156458,N
Fort Davis NHS,50968,43280,35130,38136,43277,42158,N
Guadalupe Mountains NP,198882,192210,152546,159360,145670,169734,Y
Lake Meredith NRA,1080644,883586,734030,502457,554272,750998,Y
Lyndon B. Johnson NHP,98218,112680,100056,110791,82369,100823,N
Padre Island NS,642163,612716,542873,573855,515830,577487,Y
Rio Grande W&SR,947,1103,873,694,703,864,Y
San Antonio Missions NHP,1567667,1304690,568021,614810,521705,915379,N
Palo Alto Battlefield NHP,41599,26865,24752,36707,32522,32489,N
